followers,article,document,image,poll,text,video,achievement,call to action,insights,job opening,other,num_hashtags,num_links,contlen,num_hash_ratio,num_links_ratio,Impressions
848.1356023655651,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,9.797958971132712,0.0,0.0,10.475784874542114
739.321986687803,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,28.635642126552707,0.0,0.0,9.344166471170459
660.1189286787646,1,0,0,0,0,0,0,0,1,0,0,2.23606797749979,2.23606797749979,9.38083151964686,0.00338737139681073,0.00338737139681073,9.083090920860688
314.8777540570308,0,0,0,0,0,1,0,1,0,0,0,0.0,1.0,17.349351572897472,0.0,0.0031758356603968896,8.742408195789386
299.2757925392563,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,17.146428199482248,0.0,0.0,7.621351936409492
910.143944659305,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0,9.746794344808963,0.0,0.00109872730117908,9.773221679437126
536.0503707675241,0,0,1,0,0,0,0,0,1,0,0,2.449489742783178,3.3166247903554,30.364452901377952,0.004569514128450217,0.006187151378342697,9.355911495295402
921.7342350157121,0,0,0,0,0,1,1,0,0,0,0,0.0,1.4142135623730951,17.349351572897472,0.0,0.0015342964475535488,10.905439884193715
1173.1086906165174,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,10.44030650891055,0.0,0.0008524359319804019,10.250747110513156
1149.7730210785082,1,0,0,0,0,0,0,0,1,0,0,1.0,1.4142135623730951,14.628738838327793,0.0008697368799469495,0.0012299936913170364,10.270543031806513
257.6567484076441,1,0,0,0,0,0,0,0,0,1,0,1.4142135623730951,1.4142135623730951,36.22154055254967,0.005488750328152238,0.005488750328152238,9.664452141894316
857.3878935464392,1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,13.784048752090222,0.00116633324021368,0.00116633324021368,9.750469231348765
2062.496787876287,0,0,1,0,0,0,0,0,1,0,0,0.0,1.0,21.540659228538015,0.0,0.0004848492399494502,11.874702391632548
257.6567484076441,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,19.1049731745428,0.0038811325772763355,0.0038811325772763355,9.391639739846337
976.6468143602374,0,0,1,0,0,0,0,0,1,0,0,1.7320508075688772,2.0,26.095976701399778,0.0017734669095331816,0.0020478231952357523,10.447170803277968
299.6798291510458,1,0,0,0,0,0,0,0,1,0,0,1.4142135623730951,1.4142135623730951,13.674794331177344,0.004719081582432089,0.004719081582432089,7.633447091017809
548.3529885028438,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,6.708203932499369,0.0,0.0,8.711743010658845
311.3245894560852,0,0,1,0,0,0,1,0,0,0,0,0.0,1.4142135623730951,6.082762530298219,0.0,0.004542569428402253,7.600132162939817
863.1199221429198,1,0,0,0,0,0,0,0,1,0,0,1.7320508075688772,2.0,16.703293088490067,0.0020067325097404896,0.00231717510938049,11.616920729096156
153.88957079672423,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,16.431676725154983,0.0,0.0,6.2218617271335
739.321986687803,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,11.874342087037917,0.0,0.0,9.299444058558693
677.9122362076082,0,0,0,0,0,1,0,0,1,0,0,1.0,1.4142135623730951,13.638181696985855,0.001475117200412582,0.0020861307509133045,9.384402916830442
1737.023028056911,1,0,0,0,0,0,0,0,1,0,0,0.0,1.7320508075688772,15.84297951775486,0.0,0.000997137504565155,11.131005677418209
921.7342350157121,0,0,0,0,1,0,0,0,1,0,0,0.0,1.0,15.264337522473747,0.0,0.0010849114224155444,10.578518622830204
787.2178859756681,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,16.492422502470642,0.0012702963408416622,0.0012702963408416622,9.511499223315088
660.1189286787646,1,0,0,0,0,0,0,0,1,0,0,1.0,1.7320508075688772,7.810249675906654,0.0015148785416614413,0.0026238466014534625,9.086492230695029
590.1635366574252,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,22.847319317591726,0.0,0.0,9.612189617391634
1681.075845998627,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,14.317821063276353,0.0,0.0,11.188445512599568
1984.7848749927534,0,0,0,0,0,1,0,0,1,0,0,1.0,1.4142135623730951,12.328828005937952,0.0005038329405868991,0.0007125273777483105,11.291498190010815
813.463582466972,0,0,0,0,1,0,0,0,1,0,0,1.4142135623730951,1.4142135623730951,17.291616465790582,0.0017385087579264984,0.0017385087579264984,9.889107655624661
2527.6771945800356,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,12.0,0.000395620137786679,0.000395620137786679,11.11997946478845
1659.9352397006337,0,0,1,0,0,0,0,0,1,0,0,0.0,1.0,13.228756555322953,0.0,0.0006024331408135827,10.986947285547222
2514.1374266336356,0,0,0,0,0,1,0,0,1,0,0,1.7320508075688772,2.0,18.138357147217054,0.0006889244753370734,0.0007955014625743621,11.789403050944351
1554.6742424057845,1,0,0,0,0,0,0,0,1,0,0,4.0,4.242640687119285,20.248456731316587,0.002572886261889944,0.0027289579845061304,10.819783084398763
910.143944659305,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,9.643650760992955,0.0,0.00109872730117908,9.838268266397304
2022.4766994949534,0,0,0,0,0,1,0,0,1,0,0,1.0,2.0,20.42057785666214,0.0004944432735614294,0.0009888865471228588,11.60000403970204
764.6502468449219,1,0,0,0,0,0,0,0,1,0,0,2.8284271247461903,3.3166247903554,21.656407827707714,0.003698981510065243,0.004337440292526371,9.580786062449958
